时间,带宽(bps)
2016-09-20T05:10:00+08:00,247708161
2016-09-20T05:15:00+08:00,211691756
2016-09-20T05:20:00+08:00,186472370
2016-09-20T05:25:00+08:00,210293042
2016-09-20T05:30:00+08:00,217991108
2016-09-20T05:35:00+08:00,231627901
2016-09-20T05:40:00+08:00,252285064
2016-09-20T05:45:00+08:00,253490452
2016-09-20T05:50:00+08:00,216623261
2016-09-20T05:55:00+08:00,213017235
2016-09-20T06:00:00+08:00,236076329
2016-09-20T06:05:00+08:00,289351797
2016-09-20T06:10:00+08:00,341427716
2016-09-20T06:15:00+08:00,396071259
2016-09-20T06:20:00+08:00,295580321
2016-09-20T06:25:00+08:00,294241367
2016-09-20T06:30:00+08:00,291961549
2016-09-20T06:35:00+08:00,361430955
2016-09-20T06:40:00+08:00,324255923
2016-09-20T06:45:00+08:00,301446012
2016-09-20T06:50:00+08:00,359038505
2016-09-20T06:55:00+08:00,299289255
2016-09-20T07:00:00+08:00,308252400
2016-09-20T07:05:00+08:00,344217423
2016-09-20T07:10:00+08:00,385030575
2016-09-20T07:15:00+08:00,335097585
2016-09-20T07:20:00+08:00,382194823
2016-09-20T07:25:00+08:00,391558846
2016-09-20T07:30:00+08:00,373841492
2016-09-20T07:35:00+08:00,374238001
2016-09-20T07:40:00+08:00,376841612
2016-09-20T07:45:00+08:00,399891527
2016-09-20T07:50:00+08:00,366162140
2016-09-20T07:55:00+08:00,371264332
2016-09-20T08:00:00+08:00,339114046
2016-09-20T08:05:00+08:00,337541340
2016-09-20T08:10:00+08:00,414799454
2016-09-20T08:15:00+08:00,421334558
2016-09-20T08:20:00+08:00,433397589
2016-09-20T08:25:00+08:00,503690591
2016-09-20T08:30:00+08:00,492183816
2016-09-20T08:35:00+08:00,464276342
2016-09-20T08:40:00+08:00,497975294
2016-09-20T08:45:00+08:00,537797358
2016-09-20T08:50:00+08:00,574076234
2016-09-20T08:55:00+08:00,551723028
2016-09-20T09:00:00+08:00,524199258
2016-09-20T09:05:00+08:00,570378173
2016-09-20T09:10:00+08:00,546072185
2016-09-20T09:15:00+08:00,540222113
2016-09-20T09:20:00+08:00,521245198
2016-09-20T09:25:00+08:00,522329851
2016-09-20T09:30:00+08:00,500625610
2016-09-20T09:35:00+08:00,541815222
2016-09-20T09:40:00+08:00,560340939
2016-09-20T09:45:00+08:00,508010054
2016-09-20T09:50:00+08:00,574479127
2016-09-20T09:55:00+08:00,582121566
2016-09-20T10:00:00+08:00,598314541
2016-09-20T10:05:00+08:00,574567994
2016-09-20T10:10:00+08:00,602522474
2016-09-20T10:15:00+08:00,579551940
2016-09-20T10:20:00+08:00,612706628
2016-09-20T10:25:00+08:00,677172882
2016-09-20T10:30:00+08:00,665765498
2016-09-20T10:35:00+08:00,648484576
2016-09-20T10:40:00+08:00,636878513
2016-09-20T10:45:00+08:00,593691390
2016-09-20T10:50:00+08:00,655951235
2016-09-20T10:55:00+08:00,645960563
2016-09-20T11:00:00+08:00,659744951
2016-09-20T11:05:00+08:00,695991358
2016-09-20T11:10:00+08:00,678153505
2016-09-20T11:15:00+08:00,608935881
2016-09-20T11:20:00+08:00,659371119
2016-09-20T11:25:00+08:00,711162414
2016-09-20T11:30:00+08:00,680347820
2016-09-20T11:35:00+08:00,674791853
2016-09-20T11:40:00+08:00,656333247
2016-09-20T11:45:00+08:00,718412087
2016-09-20T11:50:00+08:00,689023541
2016-09-20T11:55:00+08:00,717310464
2016-09-20T12:00:00+08:00,789104994
2016-09-20T12:05:00+08:00,773634540
2016-09-20T12:10:00+08:00,884462591
2016-09-20T12:15:00+08:00,888523349
2016-09-20T12:20:00+08:00,920117675
2016-09-20T12:25:00+08:00,892517771
2016-09-20T12:30:00+08:00,926498923
2016-09-20T12:35:00+08:00,916570118
2016-09-20T12:40:00+08:00,978274200
2016-09-20T12:45:00+08:00,1022050133
2016-09-20T12:50:00+08:00,1004771941
2016-09-20T12:55:00+08:00,1074222143
2016-09-20T13:00:00+08:00,1052035260
2016-09-20T13:05:00+08:00,1024398676
2016-09-20T13:10:00+08:00,958640423
2016-09-20T13:15:00+08:00,896296333
2016-09-20T13:20:00+08:00,957372390
2016-09-20T13:25:00+08:00,1010484549
2016-09-20T13:30:00+08:00,990683575
2016-09-20T13:35:00+08:00,944985479
2016-09-20T13:40:00+08:00,985087078
2016-09-20T13:45:00+08:00,946439270
2016-09-20T13:50:00+08:00,1050906226
2016-09-20T13:55:00+08:00,1040910621
2016-09-20T14:00:00+08:00,1056581070
2016-09-20T14:05:00+08:00,1032315309
2016-09-20T14:10:00+08:00,971851138
2016-09-20T14:15:00+08:00,909868203
2016-09-20T14:20:00+08:00,1002989361
2016-09-20T14:25:00+08:00,1006515347
2016-09-20T14:30:00+08:00,980098848
2016-09-20T14:35:00+08:00,928153432
2016-09-20T14:40:00+08:00,943162304
2016-09-20T14:45:00+08:00,856880634
2016-09-20T14:50:00+08:00,886479495
2016-09-20T14:55:00+08:00,864595580
2016-09-20T15:00:00+08:00,893191721
2016-09-20T15:05:00+08:00,844894484
2016-09-20T15:10:00+08:00,888387773
2016-09-20T15:15:00+08:00,850043457
2016-09-20T15:20:00+08:00,896189205
2016-09-20T15:25:00+08:00,877282469
2016-09-20T15:30:00+08:00,941982369
2016-09-20T15:35:00+08:00,918884665
2016-09-20T15:40:00+08:00,884895271
2016-09-20T15:45:00+08:00,968382097
2016-09-20T15:50:00+08:00,935107995
2016-09-20T15:55:00+08:00,1012166280
2016-09-20T16:00:00+08:00,1005174638
2016-09-20T16:05:00+08:00,945596744
2016-09-20T16:10:00+08:00,964410258
2016-09-20T16:15:00+08:00,949627986
2016-09-20T16:20:00+08:00,979279718
2016-09-20T16:25:00+08:00,1037066402
2016-09-20T16:30:00+08:00,969954201
2016-09-20T16:35:00+08:00,999019453
2016-09-20T16:40:00+08:00,967884475
2016-09-20T16:45:00+08:00,957504380
2016-09-20T16:50:00+08:00,948136365
2016-09-20T16:55:00+08:00,1000025521
2016-09-20T17:00:00+08:00,991648193
2016-09-20T17:05:00+08:00,1015168551
2016-09-20T17:10:00+08:00,1047372481
2016-09-20T17:15:00+08:00,985166168
2016-09-20T17:20:00+08:00,923391086
2016-09-20T17:25:00+08:00,971764238
2016-09-20T17:30:00+08:00,1006179562
2016-09-20T17:35:00+08:00,958758391
2016-09-20T17:40:00+08:00,950734697
2016-09-20T17:45:00+08:00,1001057871
2016-09-20T17:50:00+08:00,996766242
2016-09-20T17:55:00+08:00,1028393093
2016-09-20T18:00:00+08:00,1015761763
2016-09-20T18:05:00+08:00,1039511820
2016-09-20T18:10:00+08:00,1042730335
2016-09-20T18:15:00+08:00,1027787410
2016-09-20T18:20:00+08:00,1026566088
2016-09-20T18:25:00+08:00,1018608862
2016-09-20T18:30:00+08:00,1016771103
2016-09-20T18:35:00+08:00,1175877107
2016-09-20T18:40:00+08:00,1228692407
2016-09-20T18:45:00+08:00,1198318854
2016-09-20T18:50:00+08:00,1154205382
2016-09-20T18:55:00+08:00,1116678586
2016-09-20T19:00:00+08:00,1083857202
2016-09-20T19:05:00+08:00,1435633139
2016-09-20T19:10:00+08:00,1589948728
2016-09-20T19:15:00+08:00,1521374141
2016-09-20T19:20:00+08:00,1696942018
2016-09-20T19:25:00+08:00,1588740167
2016-09-20T19:30:00+08:00,1704126005
2016-09-20T19:35:00+08:00,1661726214
2016-09-20T19:40:00+08:00,1610636852
2016-09-20T19:45:00+08:00,1679618720
2016-09-20T19:50:00+08:00,1687830408
2016-09-20T19:55:00+08:00,1813074211
2016-09-20T20:00:00+08:00,1721608176
2016-09-20T20:05:00+08:00,1801566265
2016-09-20T20:10:00+08:00,1787032403
2016-09-20T20:15:00+08:00,1797141423
2016-09-20T20:20:00+08:00,2016706086
2016-09-20T20:25:00+08:00,1976169366
2016-09-20T20:30:00+08:00,2018292515
2016-09-20T20:35:00+08:00,1947652889
2016-09-20T20:40:00+08:00,1903572098
2016-09-20T20:45:00+08:00,1979226835
2016-09-20T20:50:00+08:00,2008380682
2016-09-20T20:55:00+08:00,2069480148
2016-09-20T21:00:00+08:00,2203767551
2016-09-20T21:05:00+08:00,2115263677
2016-09-20T21:10:00+08:00,2216085558
2016-09-20T21:15:00+08:00,2161836712
2016-09-20T21:20:00+08:00,1998770909
2016-09-20T21:25:00+08:00,2075382130
2016-09-20T21:30:00+08:00,1974735187
2016-09-20T21:35:00+08:00,2042677133
2016-09-20T21:40:00+08:00,1990150585
2016-09-20T21:45:00+08:00,1942504927
2016-09-20T21:50:00+08:00,2059556068
2016-09-20T21:55:00+08:00,2031483165
2016-09-20T22:00:00+08:00,2155242704
2016-09-20T22:05:00+08:00,2127491231
2016-09-20T22:10:00+08:00,2410446669
2016-09-20T22:15:00+08:00,2219209490
2016-09-20T22:20:00+08:00,2089168598
2016-09-20T22:25:00+08:00,2084121083
2016-09-20T22:30:00+08:00,2033934483
2016-09-20T22:35:00+08:00,2027494984
2016-09-20T22:40:00+08:00,2005600928
2016-09-20T22:45:00+08:00,2040010710
2016-09-20T22:50:00+08:00,2017248104
2016-09-20T22:55:00+08:00,2101581597
2016-09-20T23:00:00+08:00,2178008350
2016-09-20T23:05:00+08:00,2398768464
2016-09-20T23:10:00+08:00,2146016595
2016-09-20T23:15:00+08:00,2131172087
2016-09-20T23:20:00+08:00,2011449484
2016-09-20T23:25:00+08:00,1998279249
2016-09-20T23:30:00+08:00,1955402022
2016-09-20T23:35:00+08:00,1869109638
2016-09-20T23:40:00+08:00,1884242944
2016-09-20T23:45:00+08:00,1639933174
2016-09-20T23:50:00+08:00,1628175977
2016-09-20T23:55:00+08:00,1632005911
2016-09-21T00:00:00+08:00,1416330675
2016-09-21T00:05:00+08:00,1143812458
2016-09-21T00:10:00+08:00,1175286309
2016-09-21T00:15:00+08:00,1064828535
2016-09-21T00:20:00+08:00,1191777666
2016-09-21T00:25:00+08:00,1153654055
2016-09-21T00:30:00+08:00,1194233030
2016-09-21T00:35:00+08:00,1321185907
2016-09-21T00:40:00+08:00,1249203583
2016-09-21T00:45:00+08:00,1223121815
2016-09-21T00:50:00+08:00,1102147152
2016-09-21T00:55:00+08:00,1085055704
2016-09-21T01:00:00+08:00,978757140
2016-09-21T01:05:00+08:00,1050238527
2016-09-21T01:10:00+08:00,951093425
2016-09-21T01:15:00+08:00,955479543
2016-09-21T01:20:00+08:00,843129322
2016-09-21T01:25:00+08:00,747660509
2016-09-21T01:30:00+08:00,810527086
2016-09-21T01:35:00+08:00,759042689
2016-09-21T01:40:00+08:00,674551055
2016-09-21T01:45:00+08:00,673922793
2016-09-21T01:50:00+08:00,666466343
2016-09-21T01:55:00+08:00,608479296
2016-09-21T02:00:00+08:00,554601632
2016-09-21T02:05:00+08:00,578176551
2016-09-21T02:10:00+08:00,597571938
2016-09-21T02:15:00+08:00,566833411
